Constructor,Race 1,Race 2,Race 3,Race 4,Race 5, Race 6
MCL,71,101,71,92,86,118
MER,67,69,56,60,46,51
RED,19,67,46,46,21,60
FER,36,-23,56,73,64,34
HAA,14,47,10,40,12,8
WIL,10,26,19,13,27,31
VRB,-10,42,14,22,18,-6
AST,1,4,9,18,11,13
ALP,-14,-6,9,22,-6,10
KCK,3,12,0,-22,10,9
